customer_id,age,signup_date,segment,region
5116,21,2024-02-28,Budget,South
5117,41,2024-06-14,Standard,West
5118,46,2024-10-02,Premium,North
5119,35,2023-07-28,Premium,South
5120,46,2023-10-22,Standard,West
5121,19,2023-05-05,Budget,South
5122,28,2024-12-27,Budget,East
5123,18,2024-07-18,Budget,West
5124,32,2023-04-06,Standard,North
5125,25,2024-04-17,Budget,South
5126,63,2024-05-25,Standard,East
5127,63,2024-06-05,Standard,East
5128,71,2024-03-01,Standard,West
5129,33,2024-04-28,Standard,West
5130,27,2024-07-18,Standard,West
5131,56,2023-07-15,Premium,South
5132,35,2023-03-13,Budget,West
5133,68,2023-12-15,Premium,East
5134,36,2023-01-03,Premium,East
5135,55,2024-08-24,Premium,West
5136,46,2023-06-02,Premium,West
5137,39,2023-12-20,Budget,West
5138,38,2024-04-11,Standard,South
5139,33,2024-12-15,Standard,West
5140,72,2023-08-28,Premium,West
5141,38,2023-02-14,Standard,West
5142,69,2024-12-23,Standard,West
5143,60,2024-01-31,Premium,South
5144,20,2024-05-22,Standard,South
5145,55,2024-05-29,Standard,East
5146,73,2023-04-13,Standard,West
5147,51,2023-04-13,Standard,West
5148,64,2023-01-16,Premium,South
5149,73,2024-02-24,Standard,South
5150,48,2023-03-18,Standard,East
5151,57,2023-12-13,Standard,West
5152,23,2024-10-27,Budget,East
5153,72,2024-11-21,Standard,West
5154,58,2023-11-21,Premium,West
5155,20,2024-07-08,Premium,North
5156,58,2023-08-29,Standard,East
5157,65,2023-08-21,Premium,North
5158,24,2024-03-20,Budget,North
5159,28,2024-03-30,Budget,East
5160,20,2023-01-30,Budget,East
5161,36,2023-02-27,Standard,East
5162,45,2024-01-19,Standard,South
5163,51,2023-09-08,Premium,West
5164,61,2024-08-02,Standard,South
5165,29,2023-06-24,Budget,North
5166,73,2024-09-16,Standard,West
5167,61,2024-09-26,Budget,South
5168,55,2024-05-24,Budget,South
5169,47,2023-08-26,Premium,East
5170,34,2024-04-15,Premium,North
5171,75,2024-04-21,Premium,East
5172,52,2024-11-24,Premium,South
5173,46,2023-03-17,Premium,East
5174,37,2024-08-24,Standard,West
5175,34,2024-12-07,Premium,West
5176,30,2023-11-06,Standard,West
5177,24,2024-05-09,Budget,South
5178,54,2024-01-26,Premium,East
5179,36,2024-08-11,Budget,East
5180,71,2023-01-23,Premium,West
5181,18,2023-10-09,Standard,North
5182,65,2024-09-12,Standard,West
5183,67,2023-10-21,Standard,South
5184,69,2024-09-13,Budget,East
5185,58,2023-08-13,Standard,South
5186,34,2024-09-27,Budget,South
5187,24,2024-10-05,Standard,North
5188,68,2023-11-13,Premium,West
5189,55,2023-02-04,Standard,East
5190,23,2023-05-15,Budget,East
5191,65,2023-12-01,Budget,West
5192,30,2023-06-29,Standard,South
5193,74,2024-07-06,Standard,East
5194,50,2024-06-27,Budget,East
5195,34,2023-06-18,Standard,West
5196,65,2023-10-30,Budget,East
5197,47,2023-04-28,Budget,North
5198,66,2023-05-25,Premium,South
5199,64,2024-11-23,Budget,West
5200,41,2024-07-24,Budget,North
5201,18,2024-02-09,Standard,East
5202,25,2024-07-03,Budget,West
5203,61,2024-01-13,Standard,East
5204,42,2024-08-21,Budget,East
5205,61,2023-04-21,Premium,South
5206,19,2024-04-27,Budget,East
5207,32,2024-09-16,Standard,North
5208,70,2024-10-12,Premium,West
5209,37,2024-12-18,Budget,West
5210,26,2023-04-30,Premium,North
5211,37,2023-02-08,Standard,West
5212,24,2023-04-29,Budget,South
5213,26,2024-07-04,Budget,West
5214,41,2024-04-09,Standard,West
5215,65,2024-08-24,Standard,South
5216,59,2024-02-29,Standard,North
5217,57,2024-05-16,Standard,West
5218,20,2023-10-14,Standard,East
5219,46,2023-08-11,Standard,West
5220,72,2023-08-30,Standard,East
5221,61,2023-04-12,Standard,East
5222,75,2024-07-11,Budget,East
5223,43,2023-03-04,Premium,East
5224,25,2023-07-14,Standard,West
5225,60,2023-04-04,Premium,South
5226,58,2024-10-19,Standard,North
5227,68,2023-02-21,Premium,East
5228,26,2023-09-07,Budget,South
5229,71,2023-03-12,Premium,South
5230,31,2024-08-23,Premium,South
5231,67,2023-12-03,Premium,South
5232,18,2024-09-02,Budget,East
5233,26,2023-05-29,Budget,East
5234,25,2023-06-28,Standard,North
5235,18,2023-05-15,Premium,East
5236,55,2023-09-01,Standard,East
5237,29,2023-01-17,Premium,East
5238,26,2023-02-23,Budget,West
5239,25,2024-06-22,Budget,North
5240,46,2024-05-02,Premium,East
5241,55,2024-06-09,Premium,North
5242,50,2024-04-07,Budget,South
5243,20,2024-09-21,Standard,East
5244,59,2024-04-14,Standard,North
5245,48,2023-03-04,Budget,West
5246,61,2024-03-12,Budget,North
5247,63,2024-05-17,Budget,West
5248,75,2023-03-17,Standard,North
5249,56,2023-11-26,Premium,South
5250,26,2023-03-09,Premium,East
5251,58,2024-10-01,Budget,East
5252,56,2024-01-26,Standard,East
5253,50,2024-04-09,Standard,West
5254,68,2023-04-12,Budget,North
5255,59,2024-11-01,Premium,South
5256,46,2024-03-16,Standard,South
5257,39,2024-02-28,Premium,West
5258,44,2024-02-13,Standard,North
5259,45,2023-11-17,Premium,East
5260,34,2024-11-12,Premium,East
5261,61,2023-06-06,Premium,West
5262,23,2023-03-10,Budget,North
5263,45,2023-04-06,Standard,North
5264,69,2024-01-17,Standard,South
5265,21,2024-07-23,Budget,East
5266,25,2024-11-17,Standard,West
5267,73,2023-12-29,Premium,West
5268,36,2023-02-22,Budget,East
5269,24,2023-12-27,Standard,South
5270,60,2023-06-08,Budget,West
5271,72,2023-08-18,Premium,North
5272,72,2023-12-25,Budget,East
5273,66,2023-04-28,Premium,East
5274,32,2024-08-10,Budget,West
5275,67,2024-07-28,Standard,North
5276,60,2024-09-15,Budget,East
5277,29,2023-01-30,Premium,East
5278,66,2024-12-20,Standard,East
5279,40,2023-12-14,Budget,North
5280,73,2023-07-05,Standard,South
5281,60,2024-08-02,Standard,West
5282,27,2023-03-13,Budget,North
5283,65,2023-04-04,Premium,South
5284,44,2024-01-21,Standard,West
5285,28,2023-12-16,Budget,East
5286,64,2023-11-16,Budget,East
5287,56,2024-08-04,Premium,North
5288,27,2023-02-23,Standard,South
5289,21,2024-09-24,Budget,North
5290,46,2023-10-06,Budget,West
5291,56,2024-05-12,Standard,West
5292,35,2024-02-29,Standard,South
5293,25,2024-06-08,Standard,East
5294,25,2024-03-16,Standard,East
5295,61,2024-11-25,Standard,West
5296,60,2024-06-23,Standard,East
5297,32,2023-02-16,Standard,West
5298,21,2024-09-05,Premium,North
5299,37,2023-07-29,Budget,South
5300,66,2023-05-21,Budget,East
5301,38,2023-10-24,Standard,North
5302,49,2023-01-08,Standard,West
5303,26,2023-06-29,Standard,West
5304,63,2024-06-29,Budget,South
5305,53,2024-05-27,Standard,East
5306,43,2023-03-15,Premium,North
5307,19,2024-03-22,Budget,West
5308,73,2023-03-21,Standard,East
5309,45,2024-08-12,Budget,West
5310,58,2024-12-27,Standard,West
5311,25,2023-10-24,Budget,West
5312,38,2023-01-22,Standard,South
5313,47,2024-09-24,Budget,East
5314,45,2023-04-01,Budget,North
5315,45,2023-09-07,Premium,West
5316,23,2024-06-20,Premium,West
5317,65,2023-11-14,Premium,East
5318,39,2023-08-15,Budget,South
5319,50,2023-03-20,Budget,North
5320,50,2024-06-27,Premium,South
5321,40,2023-12-24,Standard,South
5322,24,2023-08-30,Standard,South
5323,30,2023-09-20,Budget,South
5324,27,2024-09-08,Budget,North
5325,67,2023-07-01,Standard,West
5326,66,2024-04-20,Standard,West
5327,74,2024-11-28,Standard,East
5328,38,2024-10-04,Standard,South
5329,22,2024-03-26,Premium,West
5330,58,2024-03-28,Budget,East
5331,55,2023-10-09,Standard,North
5332,50,2023-12-27,Budget,North
5333,47,2023-11-14,Budget,West
5334,21,2023-02-08,Budget,East
5335,22,2023-10-21,Budget,North
5336,56,2024-09-21,Budget,West
5337,55,2024-04-18,Budget,North
5338,69,2024-04-05,Standard,South
5339,56,2023-11-26,Premium,West
5340,27,2024-05-28,Standard,North
5341,24,2024-04-06,Budget,East
5342,50,2023-03-28,Standard,South
5343,33,2023-02-10,Standard,West
5344,51,2024-03-25,Standard,South
5345,41,2024-01-08,Standard,East
5346,44,2024-02-01,Standard,East
5347,56,2024-11-26,Premium,North
5348,59,2024-10-08,Standard,East
5349,39,2023-03-09,Standard,North
5350,61,2024-07-25,Budget,West
5351,34,2023-10-18,Standard,South
5352,23,2023-12-08,Budget,South
5353,37,2023-12-25,Standard,West
5354,56,2023-05-13,Standard,North
5355,53,2023-11-14,Standard,West
5356,68,2024-10-20,Standard,East
5357,60,2023-05-11,Premium,North
5358,60,2024-10-23,Premium,West
5359,41,2024-06-04,Budget,North
5360,37,2024-01-07,Standard,South
5361,39,2023-08-08,Standard,West
5362,32,2023-07-16,Standard,South
5363,22,2023-06-08,Standard,East
5364,50,2023-04-14,Premium,North
5365,39,2024-11-08,Standard,South
5366,42,2024-09-03,Standard,South
5367,29,2023-06-16,Standard,South
5368,20,2024-03-24,Standard,West
5369,61,2024-01-09,Budget,South
5370,57,2024-03-30,Standard,East
5371,32,2024-04-04,Standard,South
5372,69,2023-11-13,Standard,West
5373,41,2023-07-18,Standard,West
5374,67,2024-04-17,Standard,East
5375,50,2024-01-27,Budget,West
5376,70,2023-06-15,Budget,South
5377,26,2024-09-11,Standard,East
5378,59,2023-02-23,Budget,West
5379,53,2024-01-16,Standard,North
5380,72,2024-12-29,Standard,North
5381,23,2023-10-19,Standard,South
5382,46,2023-10-07,Budget,South
5383,23,2024-03-23,Standard,South
5384,74,2024-04-06,Standard,East
5385,44,2023-01-28,Standard,North
5386,50,2024-02-10,Standard,East
5387,42,2023-08-30,Premium,North
5388,32,2024-01-19,Premium,North
5389,24,2023-11-23,Standard,East
5390,26,2023-05-30,Standard,North
5391,71,2023-10-21,Premium,West
5392,71,2024-12-13,Standard,South
5393,48,2024-12-23,Premium,West
5394,18,2024-09-22,Standard,North
5395,34,2023-01-20,Budget,South
5396,53,2023-06-03,Premium,West
5397,67,2023-04-24,Standard,East
5398,37,2023-09-01,Premium,North
5399,33,2023-02-18,Premium,West
5400,68,2024-10-16,Premium,West
5401,25,2023-03-06,Standard,West
5402,52,2024-09-03,Standard,North
5403,50,2024-10-09,Premium,South
5404,36,2023-05-28,Premium,West
5405,57,2023-01-02,Premium,East
5406,54,2023-09-04,Premium,West
5407,60,2023-07-11,Premium,North
5408,41,2024-06-20,Standard,North
5409,52,2024-06-22,Standard,North
5410,73,2024-02-04,Standard,West
5411,58,2023-02-14,Premium,West
5412,34,2024-01-18,Budget,North
5413,68,2024-01-01,Standard,North
5414,33,2023-12-20,Premium,North
5415,65,2024-08-18,Budget,East
5416,20,2023-05-17,Budget,East
5417,39,2024-07-13,Premium,South
5418,47,2024-12-02,Standard,West
5419,29,2024-10-08,Budget,South
5420,63,2023-03-06,Standard,West
5421,36,2023-02-07,Premium,South
5422,68,2023-02-14,Premium,South
5423,38,2023-02-12,Standard,East
5424,43,2024-06-11,Standard,West
5425,20,2023-09-17,Budget,South
5426,40,2023-10-20,Standard,North
5427,39,2024-11-02,Standard,East
5428,69,2023-05-08,Standard,East
5429,74,2024-03-23,Premium,West
5430,75,2024-03-26,Standard,West
5431,29,2023-12-14,Budget,West
5432,49,2024-12-09,Budget,East
5433,35,2024-06-15,Standard,North
5434,23,2024-03-10,Budget,West
5435,70,2024-09-08,Premium,South
5436,36,2024-07-12,Standard,East
5437,23,2023-04-16,Budget,East
5438,36,2024-11-07,Standard,East
5439,56,2024-04-01,Standard,West
5440,62,2023-06-20,Premium,West
5441,46,2023-12-26,Premium,North
5442,57,2023-12-28,Premium,West
5443,58,2023-10-09,Premium,North
5444,60,2023-03-18,Premium,West
5445,50,2024-01-08,Premium,South
5446,27,2023-02-01,Budget,West
5447,26,2023-02-05,Budget,North
5448,67,2023-08-30,Standard,East
5449,42,2024-01-06,Budget,North
5450,27,2024-09-11,Standard,West
5451,41,2024-01-15,Premium,West
5452,54,2023-03-20,Standard,South
5453,41,2024-06-26,Standard,West
5454,59,2023-11-18,Standard,East
5455,25,2023-09-13,Standard,North
5456,49,2023-07-10,Premium,West
5457,25,2024-07-29,Standard,East
5458,63,2023-09-24,Premium,West
5459,57,2023-08-08,Standard,East
5460,49,2024-12-11,Standard,South
5461,26,2023-05-06,Standard,North
5462,29,2024-04-07,Budget,West
5463,69,2023-03-31,Standard,East
5464,40,2024-11-14,Standard,North
5465,52,2024-07-17,Premium,East
5466,72,2023-11-04,Premium,South
5467,63,2024-12-29,Standard,South
5468,50,2024-01-06,Premium,South
5469,30,2023-05-05,Premium,South
5470,68,2023-08-31,Premium,West
5471,41,2023-01-27,Premium,East
5472,69,2024-04-23,Budget,South
5473,74,2024-09-18,Premium,North
5474,37,2023-03-09,Standard,West
5475,51,2024-05-05,Standard,West
5476,70,2024-02-24,Budget,North
5477,38,2023-05-09,Premium,North
5478,47,2024-04-05,Standard,East
5479,74,2023-05-12,Budget,South
5480,45,2023-05-13,Budget,North
5481,51,2023-05-08,Standard,South
5482,28,2023-11-08,Standard,South
5483,63,2023-11-27,Premium,South
5484,51,2023-12-21,Standard,East
5485,34,2023-03-22,Budget,South
5486,53,2024-10-12,Standard,East
5487,58,2023-05-09,Standard,East
5488,52,2024-09-21,Standard,North
5489,59,2024-05-29,Budget,South
5490,55,2024-08-29,Premium,South
5491,60,2023-06-25,Premium,East
5492,20,2024-07-31,Standard,North
5493,20,2023-03-25,Budget,East
5494,31,2024-10-28,Standard,West
5495,58,2024-09-24,Premium,North
5496,74,2024-05-24,Standard,East
5497,37,2024-10-19,Standard,West
5498,69,2023-09-08,Standard,West
5499,47,2023-11-01,Premium,North
5500,21,2024-12-06,Standard,South
5501,44,2024-03-26,Standard,West
5502,31,2024-04-20,Premium,East
5503,27,2024-09-13,Standard,East
5504,64,2023-11-23,Premium,East
5505,26,2024-02-13,Premium,East
5506,53,2024-06-11,Budget,North
5507,33,2023-11-23,Standard,West
5508,35,2023-05-06,Budget,West
5509,27,2023-09-11,Standard,North
5510,36,2023-02-21,Standard,West
5511,44,2024-09-22,Budget,South
5512,70,2023-06-13,Standard,East
5513,64,2024-08-14,Standard,East
5514,66,2023-07-14,Premium,South
5515,50,2024-05-25,Standard,West
5516,74,2024-05-25,Budget,East
5517,19,2024-05-24,Budget,North
5518,50,2024-02-07,Budget,West
5519,31,2023-09-04,Premium,East
5520,21,2023-02-19,Budget,East
5521,56,2024-05-21,Budget,West
5522,52,2023-10-20,Premium,North
5523,45,2023-04-21,Premium,South
5524,64,2023-09-28,Standard,East
5525,41,2024-02-17,Standard,North
5526,21,2024-02-15,Budget,South
5527,53,2024-01-07,Premium,East
5528,42,2023-03-17,Budget,West
5529,35,2024-07-17,Standard,North
5530,24,2023-05-12,Standard,West
5531,68,2024-01-18,Premium,East
5532,41,2024-07-25,Budget,South
5533,56,2023-07-23,Standard,West
5534,20,2024-05-27,Budget,North
5535,26,2023-02-09,Standard,East
5536,51,2024-04-30,Budget,West
5537,56,2023-06-02,Premium,South
5538,57,2023-12-02,Standard,East
5539,43,2023-06-16,Standard,East
5540,39,2024-08-30,Standard,West
5541,54,2024-12-26,Standard,East
5542,70,2024-05-01,Standard,North
5543,39,2024-01-13,Standard,North
5544,55,2024-03-02,Standard,East
5545,58,2024-12-05,Standard,North
5546,48,2024-09-03,Budget,East
5547,68,2024-11-02,Standard,South
5548,55,2023-02-22,Standard,West
5549,51,2023-06-24,Budget,West
5550,70,2023-06-01,Standard,South
5551,54,2023-02-02,Premium,North
5552,19,2023-07-15,Budget,West
5553,44,2023-11-18,Standard,South
5554,62,2024-02-27,Standard,South
5555,50,2024-02-25,Premium,West
5556,63,2023-03-05,Standard,South
5557,31,2024-06-15,Standard,East
5558,48,2024-11-09,Standard,West
5559,29,2023-11-18,Budget,West
5560,39,2024-06-29,Budget,East
5561,67,2024-11-23,Premium,East
5562,48,2024-09-16,Standard,South
5563,35,2023-09-10,Standard,East
5564,37,2023-08-19,Standard,East
5565,31,2024-12-22,Premium,West
5566,48,2023-11-21,Standard,East
5567,68,2024-07-27,Budget,East
5568,25,2023-10-22,Budget,West
5569,70,2024-02-09,Standard,East
5570,36,2023-05-30,Budget,North
5571,63,2023-10-22,Premium,North
5572,46,2023-12-21,Budget,East
5573,31,2024-05-05,Premium,South
5574,35,2024-07-05,Standard,East
5575,24,2023-05-21,Budget,South
5576,21,2023-09-06,Standard,South
5577,32,2024-10-15,Standard,North
5578,44,2023-04-13,Standard,East
5579,24,2024-04-28,Budget,South
5580,53,2023-01-06,Standard,South
5581,59,2024-02-21,Standard,West
5582,59,2024-05-03,Standard,South
5583,38,2023-10-22,Standard,East
5584,21,2024-10-23,Standard,North
5585,54,2024-10-29,Premium,South
5586,65,2024-07-01,Budget,North
5587,44,2023-06-29,Standard,South
5588,71,2023-02-07,Premium,West
5589,29,2024-05-22,Standard,East
5590,18,2023-02-08,Budget,East
5591,56,2024-08-04,Premium,North
5592,36,2023-12-10,Standard,West
5593,52,2024-10-18,Standard,West
5594,72,2023-05-18,Standard,West
5595,30,2023-10-07,Premium,North
5596,28,2023-12-05,Budget,West
5597,34,2024-10-25,Budget,South
5598,65,2023-01-15,Standard,East
5599,54,2023-10-30,Standard,South
5600,57,2023-06-29,Budget,West
5601,50,2024-03-13,Standard,East
5602,43,2023-03-30,Premium,North
5603,26,2023-07-09,Budget,West
5604,33,2023-11-28,Standard,North
5605,42,2023-09-25,Standard,South
5606,66,2024-04-02,Standard,East
5607,37,2023-12-04,Budget,North
5608,59,2023-09-25,Budget,East
5609,33,2024-12-10,Standard,North
5610,25,2024-11-14,Standard,West
5611,28,2023-11-11,Budget,West
5612,50,2024-12-03,Budget,East
5613,25,2024-12-07,Standard,East
5614,57,2024-01-12,Budget,South
5615,26,2023-08-13,Budget,West
5616,47,2023-06-06,Standard,East
5617,62,2024-03-01,Standard,West
5618,69,2024-07-04,Standard,South
5619,61,2023-09-11,Premium,North
5620,46,2024-06-22,Standard,East
5621,54,2023-03-21,Standard,North
5622,71,2023-03-05,Premium,South
5623,52,2024-08-09,Standard,South
5624,38,2023-06-18,Standard,West
5625,61,2023-04-30,Standard,South
5626,49,2024-08-20,Budget,North
5627,46,2024-06-06,Standard,North
5628,26,2024-04-09,Standard,West
5629,54,2024-04-12,Standard,North
5630,47,2024-07-26,Standard,East
5631,43,2023-01-23,Standard,East
5632,65,2023-01-04,Premium,South
5633,22,2024-08-15,Standard,North
5634,40,2024-03-09,Premium,North
5635,21,2024-07-08,Standard,North
5636,20,2024-04-28,Standard,East
5637,29,2024-02-23,Budget,South
5638,64,2024-10-18,Standard,West
5639,75,2024-01-19,Standard,West
5640,73,2024-04-04,Standard,West
5641,23,2024-01-20,Premium,South
5642,73,2024-10-31,Standard,East
5643,29,2023-05-02,Standard,West
5644,26,2024-06-25,Budget,South
5645,66,2023-01-04,Premium,North
5646,47,2023-11-02,Standard,West
5647,42,2024-06-28,Premium,South
5648,47,2023-09-11,Budget,East
5649,35,2023-06-08,Standard,South
5650,20,2023-04-26,Budget,West
5651,67,2024-09-21,Premium,North
5652,31,2023-09-04,Standard,North
5653,56,2023-04-14,Premium,North
5654,56,2024-04-02,Budget,North
5655,65,2023-09-08,Premium,North
5656,46,2024-02-16,Premium,South
5657,31,2024-07-06,Premium,North
5658,50,2023-05-24,Standard,East
5659,70,2023-08-28,Standard,East
5660,56,2024-08-14,Premium,East
5661,37,2023-08-31,Budget,South
5662,51,2024-11-07,Standard,South
5663,37,2024-02-28,Standard,East
5664,53,2023-03-04,Premium,South
5665,61,2024-10-03,Standard,West
5666,49,2024-07-23,Standard,North
5667,59,2023-12-19,Premium,West
5668,38,2024-06-21,Premium,West
5669,27,2024-02-23,Budget,East
5670,29,2024-01-21,Budget,West
5671,72,2023-09-04,Premium,South
5672,72,2023-11-04,Premium,South
5673,21,2024-04-19,Budget,West
5674,53,2024-03-02,Standard,South
5675,33,2024-02-02,Premium,East
5676,39,2023-07-28,Premium,North
5677,72,2024-04-05,Standard,East
5678,52,2023-04-05,Standard,South
5679,35,2023-02-22,Premium,West
5680,56,2024-11-20,Standard,North
5681,30,2023-03-16,Standard,South
5682,31,2024-05-05,Standard,East
5683,18,2023-11-07,Premium,South
5684,65,2023-07-14,Premium,North
5685,33,2024-05-05,Budget,South
5686,33,2024-02-11,Premium,East
5687,42,2023-10-17,Standard,West
5688,59,2024-06-30,Standard,East
5689,34,2023-11-12,Premium,East
5690,74,2024-06-09,Standard,West
5691,24,2024-04-22,Budget,West
5692,31,2023-11-24,Budget,East
5693,44,2023-11-17,Budget,North
5694,73,2024-07-30,Standard,South
5695,19,2023-05-30,Budget,East
5696,55,2024-07-20,Standard,West
5697,27,2023-10-30,Standard,South
5698,32,2023-12-04,Budget,West
5699,71,2024-08-06,Premium,South
5700,53,2024-05-26,Premium,East
5701,66,2023-09-21,Premium,West
5702,65,2024-10-19,Premium,West
5703,28,2024-04-16,Standard,East
5704,26,2023-06-23,Budget,West
5705,74,2023-07-08,Premium,North
5706,20,2024-06-20,Budget,North
5707,21,2024-11-15,Budget,North
5708,26,2024-02-27,Standard,South
5709,63,2023-03-11,Premium,South
5710,31,2023-01-10,Standard,West
5711,21,2024-01-18,Budget,West
5712,49,2024-11-06,Standard,North
5713,52,2023-01-07,Standard,West
5714,19,2023-01-13,Standard,East
5715,36,2024-07-02,Standard,North
5716,70,2024-05-29,Standard,West
5717,24,2023-07-03,Standard,North
5718,27,2024-06-20,Budget,South
5719,57,2023-07-16,Standard,East
5720,35,2023-12-29,Premium,West
5721,41,2023-03-22,Budget,West
5722,54,2024-04-15,Standard,South
5723,32,2024-12-14,Budget,East
5724,70,2024-12-01,Budget,North
5725,72,2024-10-31,Standard,North
5726,43,2023-04-06,Premium,West
5727,53,2024-01-22,Standard,West
5728,58,2023-02-27,Standard,North
5729,28,2024-12-20,Budget,North
5730,72,2024-05-26,Standard,West
5731,68,2024-10-22,Premium,East
5732,72,2024-08-02,Budget,North
5733,20,2024-06-24,Budget,South
5734,75,2023-08-05,Standard,West
5735,20,2023-10-05,Standard,North
5736,35,2024-12-01,Standard,North
5737,72,2023-07-03,Premium,East
5738,31,2023-01-17,Budget,South
5739,70,2024-12-30,Premium,West
5740,37,2023-03-20,Standard,South
5741,33,2024-07-31,Standard,West
5742,75,2024-11-24,Standard,East
5743,66,2024-01-29,Standard,South
5744,64,2024-12-06,Budget,North
5745,65,2024-05-27,Standard,East
5746,24,2023-02-24,Premium,West
5747,71,2023-08-26,Premium,North
5748,56,2023-12-15,Budget,West
5749,19,2023-12-01,Budget,East
5750,49,2024-04-06,Standard,South
5751,53,2023-12-31,Standard,West
5752,29,2024-03-18,Budget,West
5753,67,2023-03-29,Premium,East
5754,63,2023-09-10,Budget,North
5755,35,2023-03-26,Standard,South
5756,63,2024-01-25,Standard,South
5757,38,2024-02-03,Standard,East
5758,23,2023-04-20,Premium,North
5759,46,2023-11-12,Premium,East
5760,24,2023-10-04,Budget,South
5761,29,2023-03-31,Premium,West
5762,53,2024-04-04,Standard,West
5763,19,2023-04-16,Standard,North
5764,53,2023-12-29,Premium,North
5765,56,2024-09-03,Standard,East
5766,18,2024-01-30,Standard,East
5767,42,2024-02-28,Standard,North
5768,75,2024-07-26,Standard,South
5769,51,2024-08-08,Standard,South
5770,42,2024-12-02,Standard,South
5771,35,2023-05-23,Standard,East
5772,49,2023-10-02,Budget,South
5773,28,2023-03-06,Budget,West
5774,44,2023-10-10,Standard,East
5775,68,2024-05-10,Premium,North
